quarter,quarter_qf,hb,hbqf,location,location_qf,admission_type,admission_type_qf,simd,simdqf,episodes,length_of_episode,average_length_of_episode,average_length_of_episode_qf,stays,length_of_stay,average_length_of_stay,average_length_of_stay_qf,total_stays_per_quarter_simd,total_episodes_per_quarter_simd
2020Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,1,NA,356,376,1.0561797752809,NA,361,2338,6.47645429362881,NA,92374,93674
2021Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,1,NA,323,403,1.24767801857585,NA,321,2189,6.81931464174455,NA,89456,91189
2021Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,1,NA,405,567,1.4,NA,391,2463,6.29923273657289,NA,102177,103517
2021Q3,p,S08000017,NA,S08000017,d,Emergency Inpatients,NA,1,NA,423,690,1.63120567375887,NA,435,3126,7.18620689655172,NA,97829,98731
2016Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,794,2616,3.29471032745592,NA,785,7166,9.12866242038216,NA,84182,85607
2016Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,862,2008,2.32946635730858,NA,832,8730,10.4927884615385,NA,83519,85066
2017Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,895,1413,1.57877094972067,NA,886,8447,9.53386004514673,NA,84626,85955
2017Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,880,1524,1.73181818181818,NA,886,8168,9.21896162528217,NA,85141,86553
2017Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,927,1210,1.30528586839266,NA,907,6570,7.24366041896362,NA,84955,86445
2017Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,877,1427,1.62713797035348,NA,870,8670,9.96551724137931,NA,84805,86768
2018Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,931,1485,1.59505907626208,NA,923,7871,8.52762730227519,NA,85976,87144
2018Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,859,1344,1.56461001164144,NA,837,7518,8.98207885304659,NA,85164,86141
2018Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,869,1439,1.65592635212888,NA,860,8027,9.33372093023256,NA,84037,85973
2018Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,933,1428,1.53054662379421,NA,925,7351,7.94702702702703,NA,86126,87600
2019Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,909,1363,1.4994499449945,NA,912,8240,9.03508771929824,NA,86380,87421
2019Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,929,1551,1.66953713670614,NA,906,7787,8.59492273730684,NA,88381,90071
2019Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,945,1537,1.62645502645503,NA,939,7948,8.4643237486688,NA,88978,90408
2019Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,906,1517,1.67439293598234,NA,908,8338,9.18281938325991,NA,88767,90413
2020Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,858,1410,1.64335664335664,NA,888,9137,10.2894144144144,NA,83194,82750
2020Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,694,1179,1.69884726224784,NA,665,4654,6.9984962406015,NA,66222,68211
2020Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,813,1490,1.83271832718327,NA,800,7255,9.06875,NA,80340,82023
2020Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,865,1396,1.61387283236994,NA,864,6565,7.59837962962963,NA,76999,78300
2021Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,883,1386,1.56964892412231,NA,872,6655,7.63188073394495,NA,76119,77546
2021Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,938,1340,1.42857142857143,NA,940,7166,7.62340425531915,NA,84525,86041
2021Q3,p,S08000017,NA,S08000017,d,Emergency Inpatients,NA,2,NA,851,1580,1.8566392479436,NA,851,6349,7.46063454759107,NA,82189,82892
2016Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1264,3424,2.70886075949367,NA,1264,11327,8.96123417721519,NA,68728,70229
2016Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1259,3064,2.43367752184273,NA,1234,11607,9.40599675850891,NA,68398,70070
2017Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1303,1968,1.51036070606293,NA,1270,10938,8.61259842519685,NA,68230,69803
2017Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1361,2161,1.5878030859662,NA,1360,12749,9.37426470588235,NA,68555,69534
2017Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1351,1844,1.36491487786825,NA,1352,11495,8.50221893491124,NA,68961,70511
2017Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1399,2433,1.73909935668335,NA,1355,12154,8.96974169741697,NA,70445,72285
2018Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1463,2393,1.63568010936432,NA,1467,13678,9.32379004771643,NA,70933,72325
2018Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1344,2118,1.57589285714286,NA,1346,11807,8.77191679049034,NA,70047,71060
2018Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1350,2086,1.54518518518519,NA,1330,11256,8.46315789473684,NA,68408,69983
2018Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1313,2178,1.65879664889566,NA,1292,12117,9.37848297213622,NA,70761,72146
2019Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1366,2478,1.81405563689605,NA,1341,12816,9.55704697986577,NA,71045,72547
2019Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1451,2319,1.59820813232254,NA,1458,13712,9.40466392318244,NA,73187,74775
2019Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1298,2336,1.79969183359014,NA,1294,12445,9.61746522411128,NA,72742,74088
2019Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1442,2743,1.90221914008322,NA,1445,13511,9.35017301038062,NA,74645,76530
2020Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1344,2401,1.78645833333333,NA,1375,15009,10.9156363636364,NA,69331,69158
2020Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1053,1751,1.66286799620133,NA,1029,8583,8.34110787172012,NA,54636,56737
2020Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1350,2317,1.7162962962963,NA,1350,10479,7.76222222222222,NA,66116,67727
2020Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1321,2141,1.62074186222559,NA,1319,11259,8.53601213040182,NA,64608,66043
2021Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1258,2262,1.79809220985692,NA,1241,11075,8.92425463336019,NA,63159,64495
2021Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1379,2170,1.57360406091371,NA,1377,10732,7.79375453885258,NA,69903,71446
2021Q3,p,S08000017,NA,S08000017,d,Emergency Inpatients,NA,3,NA,1273,2572,2.0204241948154,NA,1264,10291,8.14161392405063,NA,67026,68244
2016Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,535,1505,2.81308411214953,NA,540,5581,10.3351851851852,NA,58163,59144
2016Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,571,1285,2.25043782837128,NA,545,4641,8.51559633027523,NA,58095,59198
2017Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,495,792,1.6,NA,517,5802,11.2224371373308,NA,57225,58155
2017Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,522,897,1.7183908045977,NA,512,4702,9.18359375,NA,57490,58402
2017Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,506,762,1.50592885375494,NA,492,4772,9.69918699186992,NA,56998,58062
2017Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,510,901,1.76666666666667,NA,511,4253,8.32289628180039,NA,59111,60339
2018Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,504,768,1.52380952380952,NA,503,4893,9.72763419483101,NA,58884,59779
2018Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,544,835,1.53492647058824,NA,538,4396,8.17100371747212,NA,59541,60662
2018Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,550,812,1.47636363636364,NA,539,4914,9.11688311688312,NA,58852,60019
2018Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,546,963,1.76373626373626,NA,546,5338,9.77655677655678,NA,60811,61821
2019Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,556,910,1.63669064748201,NA,557,4881,8.76301615798923,NA,60699,61351
2019Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,556,1019,1.83273381294964,NA,546,5217,9.55494505494505,NA,61913,63104
2019Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,533,940,1.76360225140713,NA,540,5582,10.337037037037,NA,61761,63083
2019Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,609,958,1.57307060755337,NA,588,5032,8.5578231292517,NA,62566,63691
2020Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,498,1179,2.36746987951807,NA,520,5998,11.5346153846154,NA,58425,58026
2020Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,427,759,1.77751756440281,NA,424,3608,8.50943396226415,NA,47527,48878
2020Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,509,924,1.81532416502947,NA,499,3811,7.6372745490982,NA,56644,58054
2020Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,493,802,1.62677484787018,NA,490,3440,7.02040816326531,NA,54958,55724
2021Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,488,840,1.72131147540984,NA,493,4657,9.44624746450304,NA,53408,54598
2021Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,561,782,1.39393939393939,NA,542,4049,7.47047970479705,NA,59876,61024
2021Q3,p,S08000017,NA,S08000017,d,Emergency Inpatients,NA,4,NA,514,1044,2.03112840466926,NA,525,5065,9.64761904761905,NA,58929,59660
2016Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,267,662,2.47940074906367,NA,264,2781,10.5340909090909,NA,48789,49574
2016Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,289,662,2.29065743944637,NA,285,2336,8.19649122807018,NA,49817,50493
2017Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,240,373,1.55416666666667,NA,245,2222,9.06938775510204,NA,48563,49158
2017Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,205,321,1.56585365853659,NA,199,2052,10.3115577889447,NA,48709,49089
2017Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,267,377,1.41198501872659,NA,276,1932,7,NA,48878,49750
2017Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,244,305,1.25,NA,238,1547,6.5,NA,50635,51597
2018Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,249,386,1.55020080321285,NA,244,1982,8.12295081967213,NA,50296,50808
2018Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,266,430,1.61654135338346,NA,265,2081,7.85283018867925,NA,49625,49920
2018Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,260,452,1.73846153846154,NA,259,2041,7.88030888030888,NA,48847,49787
2018Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,262,445,1.69847328244275,NA,259,2230,8.61003861003861,NA,52225,52949
2019Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,241,386,1.60165975103734,NA,240,2034,8.475,NA,51583,52175
2019Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,243,301,1.23868312757202,NA,244,1768,7.24590163934426,NA,52222,52974
2019Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,231,367,1.58874458874459,NA,223,1792,8.03587443946188,NA,52734,53908
2019Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,260,510,1.96153846153846,NA,259,1982,7.65250965250965,NA,52902,53620
2020Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,244,487,1.99590163934426,NA,255,3265,12.8039215686275,NA,49182,48675
2020Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,186,296,1.59139784946237,NA,181,1535,8.48066298342541,NA,39438,40524
2020Q3,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,228,294,1.28947368421053,NA,228,1566,6.86842105263158,NA,47617,48459
2020Q4,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,216,303,1.40277777777778,NA,211,1245,5.90047393364929,NA,45843,46759
2021Q1,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,219,345,1.57534246575342,NA,222,1792,8.07207207207207,NA,45623,46276
2021Q2,NA,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,276,328,1.18840579710145,NA,271,1367,5.04428044280443,NA,50477,51506
2021Q3,p,S08000017,NA,S08000017,d,Emergency Inpatients,NA,5,NA,253,372,1.4703557312253,NA,258,2324,9.0077519379845,NA,48852,49110
2016Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,1853,2473,1.33459255261738,NA,1832,13505,7.37172489082969,NA,106245,107465
2016Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,1910,2824,1.47853403141361,NA,1902,14526,7.63722397476341,NA,103596,105102
2017Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,1863,3213,1.72463768115942,NA,1831,12613,6.88858547241944,NA,101208,102663
2017Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2012,2761,1.37226640159046,NA,2022,14375,7.10929772502473,NA,103344,104270
2017Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2046,2520,1.2316715542522,NA,2025,13251,6.5437037037037,NA,102745,104338
2017Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2018,2708,1.34192269573835,NA,1975,12000,6.07594936708861,NA,104033,106076
2018Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2034,2812,1.38249754178958,NA,2035,14445,7.0982800982801,NA,102970,103966
2018Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2123,2582,1.21620348563354,NA,2123,14369,6.76825247291569,NA,102891,104068
2018Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2005,2667,1.33017456359102,NA,1965,13061,6.64681933842239,NA,103640,105287
2018Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2024,2638,1.30335968379447,NA,2033,15252,7.50221347761928,NA,103887,105590
2019Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2118,2806,1.32483474976393,NA,2103,13529,6.43319067998098,NA,106111,107639
2019Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2082,2558,1.22862632084534,NA,2066,12960,6.2729912875121,NA,107289,108730
2019Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2192,2797,1.27600364963504,NA,2168,14244,6.57011070110701,NA,108731,110532
2019Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2045,2990,1.46210268948655,NA,2027,14055,6.93389245189936,NA,106455,108127
2020Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,1804,2816,1.5609756097561,NA,1846,15793,8.55525460455038,NA,98344,98021
2020Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,1421,1720,1.21041520056298,NA,1354,9351,6.90620384047267,NA,80673,83110
2020Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,1804,2025,1.12250554323725,NA,1813,11438,6.30888030888031,NA,96701,98499
2020Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,1840,2494,1.3554347826087,NA,1832,12038,6.57096069868996,NA,92374,93674
2021Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,1709,2290,1.33996489174956,NA,1674,11195,6.68757467144564,NA,89456,91189
2021Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,2026,2641,1.3035538005923,NA,2032,13278,6.53444881889764,NA,102177,103517
2021Q3,p,S08000029,NA,S08000029,d,Emergency Inpatients,NA,1,NA,1922,2624,1.36524453694069,NA,1924,12002,6.23804573804574,NA,97829,98731
2016Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1806,2706,1.49833887043189,NA,1772,14151,7.98589164785553,NA,84182,85607
2016Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1737,2564,1.47610823258492,NA,1727,14157,8.19745222929936,NA,83519,85066
2017Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1787,2811,1.57302742025741,NA,1798,13766,7.65628476084538,NA,84626,85955
2017Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1977,2513,1.27111785533637,NA,1941,12388,6.38227717671303,NA,85141,86553
2017Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1829,2377,1.29961727720066,NA,1834,13169,7.18047982551799,NA,84955,86445
2017Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1861,2484,1.33476625470177,NA,1808,11836,6.54646017699115,NA,84805,86768
2018Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1818,2567,1.41199119911991,NA,1827,14616,8,NA,85976,87144
2018Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1952,2748,1.4077868852459,NA,1940,13067,6.73556701030928,NA,85164,86141
2018Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1866,2501,1.34030010718114,NA,1843,12524,6.79544221378188,NA,84037,85973
2018Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1883,2749,1.4599044078598,NA,1848,13382,7.24134199134199,NA,86126,87600
2019Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1970,2521,1.27969543147208,NA,1955,15074,7.71048593350384,NA,86380,87421
2019Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,2012,2751,1.36729622266402,NA,2010,13543,6.73781094527363,NA,88381,90071
2019Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1963,2906,1.48038716250637,NA,1970,14363,7.29086294416244,NA,88978,90408
2019Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,2001,2700,1.34932533733133,NA,1976,14651,7.41447368421053,NA,88767,90413
2020Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1857,2878,1.54981152396338,NA,1888,15335,8.12235169491525,NA,83194,82750
2020Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1383,1867,1.34996384671005,NA,1349,8883,6.58487768717569,NA,66222,68211
2020Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1715,2179,1.27055393586006,NA,1691,11885,7.02838557066824,NA,80340,82023
2020Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1717,2414,1.40594059405941,NA,1714,13194,7.6977829638273,NA,76999,78300
2021Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1713,2387,1.39346176298891,NA,1693,12130,7.16479621972829,NA,76119,77546
2021Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1789,2323,1.29849077697037,NA,1774,11254,6.34385569334836,NA,84525,86041
2021Q3,p,S08000029,NA,S08000029,d,Emergency Inpatients,NA,2,NA,1778,2554,1.43644544431946,NA,1809,12304,6.80154781647319,NA,82189,82892
2016Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1446,1894,1.30982019363762,NA,1437,10336,7.19276270006959,NA,68728,70229
2016Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1504,2261,1.5033244680851101,NA,1487,11075,7.44788164088769,NA,68398,70070
2017Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1284,2098,1.63395638629283,NA,1261,9350,7.41475019825535,NA,68230,69803
2017Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1418,1966,1.38645980253879,NA,1434,12236,8.53277545327755,NA,68555,69534
2017Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1403,2007,1.43050605844619,NA,1382,9438,6.82923299565847,NA,68961,70511
2017Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1519,1899,1.25016458196182,NA,1500,10380,6.92,NA,70445,72285
2018Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1458,2287,1.56858710562414,NA,1458,11597,7.95404663923182,NA,70933,72325
2018Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1440,1632,1.13333333333333,NA,1440,10216,7.09444444444444,NA,70047,71060
2018Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1478,1880,1.27198917456022,NA,1461,9126,6.24640657084189,NA,68408,69983
2018Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1519,2043,1.3449637919684,NA,1475,10182,6.90305084745763,NA,70761,72146
2019Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1456,1844,1.26648351648352,NA,1458,10158,6.96707818930041,NA,71045,72547
2019Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1463,2008,1.37252221462748,NA,1447,12116,8.37318590186593,NA,73187,74775
2019Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1481,1910,1.2896691424713,NA,1480,10377,7.01148648648649,NA,72742,74088
2019Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1508,2091,1.38660477453581,NA,1476,11391,7.71747967479675,NA,74645,76530
2020Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1328,1783,1.34262048192771,NA,1380,12789,9.26739130434783,NA,69331,69158
2020Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1054,1338,1.26944971537002,NA,1010,7015,6.94554455445545,NA,54636,56737
2020Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1363,1695,1.24358033749083,NA,1322,9395,7.10665658093797,NA,66116,67727
2020Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1307,1945,1.48814078041316,NA,1307,10042,7.68324407039021,NA,64608,66043
2021Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1258,1966,1.56279809220986,NA,1261,9934,7.87787470261697,NA,63159,64495
2021Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1354,1567,1.15731166912851,NA,1351,8837,6.54108068097705,NA,69903,71446
2021Q3,p,S08000029,NA,S08000029,d,Emergency Inpatients,NA,3,NA,1368,1906,1.39327485380117,NA,1365,8348,6.11575091575092,NA,67026,68244
2016Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,902,1230,1.36363636363636,NA,885,6680,7.54802259887006,NA,58163,59144
2016Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,898,1488,1.65701559020045,NA,895,7008,7.83016759776536,NA,58095,59198
2017Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1074,1736,1.61638733705773,NA,1061,6850,6.45617342130066,NA,57225,58155
2017Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1138,1617,1.42091388400703,NA,1115,7377,6.61614349775785,NA,57490,58402
2017Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1129,1567,1.38795394154119,NA,1119,8553,7.64343163538874,NA,56998,58062
2017Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1236,1700,1.37540453074434,NA,1226,9570,7.80587275693312,NA,59111,60339
2018Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1204,1812,1.50498338870432,NA,1206,9262,7.67993366500829,NA,58884,59779
2018Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1208,1554,1.2864238410596,NA,1183,8178,6.91293322062553,NA,59541,60662
2018Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1131,1549,1.36958443854996,NA,1124,8449,7.51690391459075,NA,58852,60019
2018Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1195,1591,1.33138075313808,NA,1190,9455,7.9453781512605,NA,60811,61821
2019Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1223,1863,1.5233033524121,NA,1221,10183,8.33988533988534,NA,60699,61351
2019Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1264,1789,1.41534810126582,NA,1274,8373,6.57221350078493,NA,61913,63104
2019Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1204,1795,1.49086378737542,NA,1184,7673,6.48057432432432,NA,61761,63083
2019Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1270,1822,1.43464566929134,NA,1255,9039,7.20239043824701,NA,62566,63691
2020Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1133,2140,1.88879082082966,NA,1165,10302,8.84291845493562,NA,58425,58026
2020Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,934,1475,1.57922912205567,NA,913,6490,7.10843373493976,NA,47527,48878
2020Q3,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1124,1778,1.58185053380783,NA,1112,8372,7.52877697841727,NA,56644,58054
2020Q4,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1107,2027,1.83107497741644,NA,1087,7581,6.97424103035879,NA,54958,55724
2021Q1,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1103,1485,1.34632819582956,NA,1108,8476,7.64981949458484,NA,53408,54598
2021Q2,NA,S08000029,NA,S08000029,d,Emergency Inpatients,NA,4,NA,1138,1599,1.40509666080844,NA,1117,7002,6.26857654431513,NA,59876,61024
