quarter,quarter_qf,hb,hbqf,location,location_qf,admission_type,admission_type_qf,sex,age,episodes,length_of_episode,average_length_of_episode,average_length_of_episode_qf,stays,length_of_stay,average_length_of_stay,average_length_of_stay_qf,total_stays_per_quarter_age,total_stays_per_quarter_sex
2019Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Female,90 years and over,115,435,3.78260869565217,NA,119,2583,21.7058823529412,NA,18835,202644
2020Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Female,90 years and over,138,476,3.44927536231884,NA,157,3906,24.8789808917197,NA,18351,188180
2020Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Female,90 years and over,100,231,2.31,NA,90,1414,15.7111111111111,NA,12408,144876
2020Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Female,90 years and over,102,292,2.86274509803922,NA,100,1719,17.19,NA,15636,178317
2020Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Female,90 years and over,122,368,3.01639344262295,NA,113,1392,12.3185840707965,NA,16240,172722
2021Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Female,90 years and over,105,257,2.44761904761905,NA,115,2147,18.6695652173913,NA,16401,169568
2021Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Female,90 years and over,147,354,2.40816326530612,NA,138,2022,14.6521739130435,NA,16930,191481
2021Q3,p,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Female,90 years and over,118,367,3.11016949152542,NA,120,1847,15.3916666666667,NA,16392,184949
2016Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,10,13,1.3,NA,10,13,1.3,NA,3674,178089
2016Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,15,13,0.866666666666667,NA,16,13,0.8125,NA,2698,175214
2017Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,15,10,0.666666666666667,NA,14,10,0.714285714285714,NA,2833,172538
2017Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,26,27,1.03846153846154,NA,26,27,1.03846153846154,NA,3906,177139
2017Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,35,29,0.828571428571429,NA,35,31,0.885714285714286,NA,3765,178359
2017Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,16,16,1,NA,16,18,1.125,NA,2757,179046
2018Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,16,13,0.8125,NA,16,16,1,NA,2989,175499
2018Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,39,71,1.82051282051282,NA,39,77,1.97435897435897,NA,4030,179635
2018Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,24,25,1.04166666666667,NA,24,25,1.04166666666667,NA,3575,178481
2018Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,12,16,1.33333333333333,NA,10,16,1.6,NA,3085,182454
2019Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,17,22,1.29411764705882,NA,17,22,1.29411764705882,NA,2974,181764
2019Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,25,57,2.28,NA,25,61,2.44,NA,3890,187928
2019Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,10,8,0.8,NA,12,15,1.25,NA,4001,188303
2019Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,14,13,0.928571428571429,NA,14,13,0.928571428571429,NA,3042,186274
2020Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,5,8,1.6,NA,5,8,1.6,NA,3075,172875
2020Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,10,8,0.8,NA,10,8,0.8,NA,2054,145186
2020Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,13,18,1.38461538461538,NA,13,18,1.38461538461538,NA,3265,172120
2020Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,14,14,1,NA,14,14,1,NA,2528,163740
2021Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,11,14,1.27272727272727,NA,11,15,1.36363636363636,NA,2263,159447
2021Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,17,36,2.11764705882353,NA,15,36,2.4,NA,3366,177987
2021Q3,p,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,0-9 years,19,48,2.52631578947368,NA,19,48,2.52631578947368,NA,3320,173844
2016Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,63,65,1.03174603174603,NA,62,80,1.29032258064516,NA,11097,178089
2016Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,41,44,1.07317073170732,NA,42,92,2.19047619047619,NA,10039,175214
2017Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,44,83,1.88636363636364,NA,44,88,2,NA,10086,172538
2017Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,61,47,0.770491803278688,NA,59,113,1.91525423728814,NA,9880,177139
2017Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,72,82,1.13888888888889,NA,70,150,2.14285714285714,NA,10699,178359
2017Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,51,43,0.843137254901961,NA,54,83,1.53703703703704,NA,10116,179046
2018Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,45,45,1,NA,44,58,1.31818181818182,NA,9348,175499
2018Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,50,37,0.74,NA,51,59,1.15686274509804,NA,9939,179635
2018Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,47,42,0.893617021276596,NA,46,65,1.41304347826087,NA,10573,178481
2018Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,51,50,0.980392156862745,NA,52,106,2.03846153846154,NA,9928,182454
2019Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,55,42,0.763636363636364,NA,55,126,2.29090909090909,NA,9836,181764
2019Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,46,65,1.41304347826087,NA,46,81,1.76086956521739,NA,10290,187928
2019Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,51,40,0.784313725490196,NA,51,76,1.49019607843137,NA,10765,188303
2019Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,40,66,1.65,NA,40,142,3.55,NA,9743,186274
2020Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,33,26,0.787878787878788,NA,33,39,1.18181818181818,NA,8908,172875
2020Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,23,11,0.478260869565217,NA,23,33,1.43478260869565,NA,5952,145186
2020Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,43,39,0.906976744186046,NA,43,54,1.25581395348837,NA,8591,172120
2020Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,33,39,1.18181818181818,NA,33,61,1.84848484848485,NA,7323,163740
2021Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,34,41,1.20588235294118,NA,33,54,1.63636363636364,NA,6509,159447
2021Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,39,55,1.41025641025641,NA,40,70,1.75,NA,8780,177987
2021Q3,p,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,10-19 years,41,37,0.902439024390244,NA,41,47,1.14634146341463,NA,8536,173844
2016Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,85,96,1.12941176470588,NA,86,168,1.95348837209302,NA,28088,178089
2016Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,67,84,1.25373134328358,NA,67,125,1.86567164179104,NA,26513,175214
2017Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,83,74,0.891566265060241,NA,82,142,1.73170731707317,NA,24641,172538
2017Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,91,85,0.934065934065934,NA,90,226,2.51111111111111,NA,26824,177139
2017Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,103,95,0.922330097087379,NA,100,223,2.23,NA,26939,178359
2017Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,101,80,0.792079207920792,NA,104,184,1.76923076923077,NA,25758,179046
2018Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,85,104,1.22352941176471,NA,83,194,2.33734939759036,NA,24163,175499
2018Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,79,76,0.962025316455696,NA,76,197,2.59210526315789,NA,26604,179635
2018Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,98,126,1.28571428571429,NA,100,324,3.24,NA,26720,178481
2018Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,102,86,0.843137254901961,NA,102,200,1.96078431372549,NA,26501,182454
2019Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,72,75,1.04166666666667,NA,71,152,2.14084507042254,NA,26173,181764
2019Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,81,108,1.33333333333333,NA,82,229,2.79268292682927,NA,27260,187928
2019Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,95,98,1.03157894736842,NA,95,197,2.07368421052632,NA,28422,188303
2019Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,95,59,0.621052631578947,NA,93,207,2.2258064516129,NA,25858,186274
2020Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,68,70,1.02941176470588,NA,69,232,3.36231884057971,NA,23833,172875
2020Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,75,67,0.893333333333333,NA,74,107,1.44594594594595,NA,18935,145186
2020Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,85,66,0.776470588235294,NA,80,210,2.625,NA,22903,172120
2020Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,66,165,2.5,NA,69,457,6.6231884057971,NA,20850,163740
2021Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,67,50,0.746268656716418,NA,64,186,2.90625,NA,20577,159447
2021Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,91,99,1.08791208791209,NA,91,241,2.64835164835165,NA,23303,177987
2021Q3,p,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,20-29 years,85,89,1.04705882352941,NA,87,195,2.24137931034483,NA,22896,173844
2016Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,99,207,2.09090909090909,NA,100,559,5.59,NA,29806,178089
2016Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,103,122,1.18446601941748,NA,101,187,1.85148514851485,NA,27853,175214
2017Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,86,140,1.62790697674419,NA,86,299,3.47674418604651,NA,27347,172538
2017Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,109,180,1.65137614678899,NA,107,492,4.5981308411215,NA,29451,177139
2017Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,123,146,1.1869918699187,NA,124,446,3.59677419354839,NA,30253,178359
2017Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,103,105,1.01941747572816,NA,102,361,3.53921568627451,NA,27960,179046
2018Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,78,46,0.58974358974359,NA,75,144,1.92,NA,28426,175499
2018Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,101,119,1.17821782178218,NA,102,417,4.08823529411765,NA,29581,179635
2018Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,81,89,1.09876543209877,NA,83,527,6.34939759036145,NA,30535,178481
2018Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,110,110,1,NA,109,278,2.55045871559633,NA,29487,182454
2019Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,91,103,1.13186813186813,NA,92,378,4.10869565217391,NA,29863,181764
2019Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,115,124,1.07826086956522,NA,111,480,4.32432432432432,NA,31975,187928
2019Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,96,96,1,NA,98,285,2.90816326530612,NA,32251,188303
2019Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,90,116,1.28888888888889,NA,87,266,3.05747126436782,NA,30179,186274
2020Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,85,59,0.694117647058824,NA,90,188,2.08888888888889,NA,28580,172875
2020Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,61,98,1.60655737704918,NA,60,176,2.93333333333333,NA,24207,145186
2020Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,93,125,1.34408602150538,NA,92,258,2.80434782608696,NA,29410,172120
2020Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,86,100,1.16279069767442,NA,88,241,2.73863636363636,NA,26203,163740
2021Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,67,77,1.14925373134328,NA,66,154,2.33333333333333,NA,26313,159447
2021Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,94,138,1.46808510638298,NA,91,308,3.38461538461538,NA,30089,177987
2021Q3,p,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,30-39 years,99,93,0.939393939393939,NA,101,408,4.03960396039604,NA,30069,173844
2016Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,123,245,1.99186991869919,NA,121,479,3.95867768595041,NA,38399,178089
2016Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,129,244,1.89147286821705,NA,130,466,3.58461538461538,NA,35507,175214
2017Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,112,94,0.839285714285714,NA,111,333,3,NA,35049,172538
2017Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,111,110,0.990990990990991,NA,111,464,4.18018018018018,NA,35840,177139
2017Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,169,189,1.11834319526627,NA,167,573,3.4311377245509,NA,36776,178359
2017Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,135,208,1.54074074074074,NA,135,560,4.14814814814815,NA,34836,179046
2018Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,114,125,1.09649122807018,NA,113,397,3.51327433628319,NA,33801,175499
2018Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,147,222,1.51020408163265,NA,146,531,3.63698630136986,NA,35468,179635
2018Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,141,187,1.32624113475177,NA,136,848,6.23529411764706,NA,36020,178481
2018Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,122,176,1.44262295081967,NA,123,560,4.55284552845528,NA,34376,182454
2019Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,130,162,1.24615384615385,NA,123,559,4.54471544715447,NA,34943,181764
2019Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,124,110,0.887096774193548,NA,133,780,5.86466165413534,NA,36499,187928
2019Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,162,225,1.38888888888889,NA,159,588,3.69811320754717,NA,36793,188303
2019Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,114,127,1.1140350877193,NA,114,438,3.84210526315789,NA,34220,186274
2020Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,102,131,1.2843137254902,NA,103,733,7.11650485436893,NA,31147,172875
2020Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,95,110,1.15789473684211,NA,95,348,3.66315789473684,NA,28596,145186
2020Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,115,147,1.27826086956522,NA,110,378,3.43636363636364,NA,33364,172120
2020Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,129,145,1.12403100775194,NA,133,700,5.26315789473684,NA,30813,163740
2021Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,113,117,1.0353982300885,NA,110,488,4.43636363636364,NA,31100,159447
2021Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,132,179,1.35606060606061,NA,136,664,4.88235294117647,NA,35572,177987
2021Q3,p,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,40-49 years,168,247,1.4702380952381,NA,159,614,3.86163522012579,NA,33270,173844
2016Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,250,582,2.328,NA,250,1744,6.976,NA,53482,178089
2016Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,214,349,1.63084112149533,NA,207,1028,4.96618357487923,NA,51629,175214
2017Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,219,241,1.10045662100457,NA,217,1261,5.8110599078341,NA,50781,172538
2017Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,233,354,1.51931330472103,NA,239,1156,4.83682008368201,NA,52442,177139
2017Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,221,243,1.09954751131222,NA,216,985,4.56018518518519,NA,53652,178359
2017Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,230,391,1.7,NA,218,1161,5.3256880733945,NA,52414,179046
2018Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,215,268,1.24651162790698,NA,219,1746,7.97260273972603,NA,51714,175499
2018Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,215,242,1.12558139534884,NA,215,870,4.04651162790698,NA,52629,179635
2018Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,225,347,1.54222222222222,NA,223,1441,6.46188340807175,NA,52525,178481
2018Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,251,289,1.15139442231076,NA,244,993,4.06967213114754,NA,53507,182454
2019Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,203,216,1.064039408867,NA,208,1589,7.63942307692308,NA,53787,181764
2019Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,235,237,1.00851063829787,NA,230,1233,5.36086956521739,NA,54870,187928
2019Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,245,390,1.59183673469388,NA,247,1533,6.20647773279352,NA,55904,188303
2019Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,230,244,1.06086956521739,NA,227,905,3.98678414096916,NA,54193,186274
2020Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,210,225,1.07142857142857,NA,214,2132,9.96261682242991,NA,50257,172875
2020Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,192,281,1.46354166666667,NA,188,939,4.99468085106383,NA,44257,145186
2020Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,227,315,1.38766519823789,NA,228,1382,6.06140350877193,NA,50646,172120
2020Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,221,233,1.05429864253394,NA,215,1119,5.2046511627907,NA,49447,163740
2021Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,218,312,1.43119266055046,NA,211,1801,8.53554502369668,NA,48284,159447
2021Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,261,362,1.38697318007663,NA,262,1407,5.37022900763359,NA,53504,177987
2021Q3,p,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,50-59 years,220,304,1.38181818181818,NA,230,1420,6.17391304347826,NA,50776,173844
2016Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,300,833,2.77666666666667,NA,300,2627,8.75666666666667,NA,61029,178089
2016Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,303,532,1.75577557755776,NA,297,1968,6.62626262626263,NA,59813,175214
2017Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,250,404,1.616,NA,249,1994,8.00803212851406,NA,58396,172538
2017Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,295,440,1.49152542372881,NA,299,2276,7.61204013377926,NA,59424,177139
2017Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,304,338,1.11184210526316,NA,300,1857,6.19,NA,58287,178359
2017Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,275,421,1.53090909090909,NA,275,2253,8.19272727272727,NA,60594,179046
2018Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,308,422,1.37012987012987,NA,299,2161,7.22742474916388,NA,60831,175499
2018Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,285,405,1.42105263157895,NA,287,2161,7.52961672473868,NA,60084,179635
2018Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,310,372,1.2,NA,303,2228,7.35313531353135,NA,59422,178481
2018Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,305,445,1.45901639344262,NA,308,2173,7.05519480519481,NA,61584,182454
2019Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,332,399,1.20180722891566,NA,321,1897,5.90965732087227,NA,61996,181764
2019Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,346,497,1.4364161849711,NA,346,2595,7.5,NA,63802,187928
2019Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,279,469,1.68100358422939,NA,279,2102,7.53405017921147,NA,62973,188303
2019Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,300,410,1.36666666666667,NA,295,1596,5.41016949152542,NA,63875,186274
2020Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,285,427,1.49824561403509,NA,285,2684,9.41754385964912,NA,58209,172875
2020Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,230,215,0.934782608695652,NA,225,1540,6.84444444444444,NA,48077,145186
2020Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,290,368,1.26896551724138,NA,295,1829,6.2,NA,57491,172120
2020Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,293,269,0.918088737201365,NA,289,1463,5.06228373702422,NA,54800,163740
2021Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,305,500,1.63934426229508,NA,305,2040,6.68852459016393,NA,54798,159447
2021Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,320,410,1.28125,NA,310,1845,5.95161290322581,NA,60849,177987
2021Q3,p,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,60-69 years,294,558,1.89795918367347,NA,293,2344,8,NA,59661,173844
2016Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,325,904,2.78153846153846,NA,315,2768,8.78730158730159,NA,68866,178089
2016Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,366,854,2.33333333333333,NA,359,3563,9.92479108635098,NA,70518,175214
2017Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,366,529,1.44535519125683,NA,357,4417,12.3725490196078,NA,70490,172538
2017Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,355,455,1.28169014084507,NA,360,3635,10.0972222222222,NA,71234,177139
2017Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,370,473,1.27837837837838,NA,370,2960,8,NA,70955,178359
2017Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,392,539,1.375,NA,381,3080,8.08398950131234,NA,74454,179046
2018Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,410,580,1.41463414634146,NA,405,3582,8.84444444444444,NA,75151,175499
2018Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,400,575,1.4375,NA,401,3725,9.28927680798005,NA,73508,179635
2018Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,405,586,1.44691358024691,NA,392,3465,8.83928571428571,NA,71925,178481
2018Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,350,525,1.5,NA,347,3171,9.13832853025937,NA,74999,182454
2019Q1,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,385,565,1.46753246753247,NA,376,3493,9.28989361702128,NA,74914,181764
2019Q2,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,440,694,1.57727272727273,NA,445,4554,10.2337078651685,NA,75983,187928
2019Q3,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,399,626,1.56892230576441,NA,395,3666,9.28101265822785,NA,76182,188303
2019Q4,NA,S08000017,NA,Y146H,NA,Emergency Inpatients,NA,Male,70-79 years,419,697,1.66348448687351,NA,425,3920,9.22352941176471,NA,79488,186274
