year,year_quarter,month,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,attendance_greater8hrs,attendance_greater12hrs
2017,2017Q2,04,A216H,Minor Injury Unit or Other,84,84,0,0
2017,2017Q2,04,B103H,Minor Injury Unit or Other,8,8,0,0
2017,2017Q2,04,B105H,Minor Injury Unit or Other,68,68,0,0
2017,2017Q2,04,B114H,Minor Injury Unit or Other,6,6,0,0
2017,2017Q2,04,B118H,Minor Injury Unit or Other,39,39,0,0
2017,2017Q2,04,B120H,Emergency Department,2567,2395,7,0
2017,2017Q2,04,Y101H,Minor Injury Unit or Other,18,18,0,0
2017,2017Q2,04,Y106H,Minor Injury Unit or Other,32,32,0,0
2017,2017Q2,04,Y109H,Minor Injury Unit or Other,3,3,0,0
2017,2017Q2,04,Y110H,Minor Injury Unit or Other,13,13,0,0
2017,2017Q2,04,Y144H,Emergency Department,1028,980,2,1
2017,2017Q2,04,Y146H,Emergency Department,3079,2870,1,0
2017,2017Q2,04,F704H,Emergency Department,5375,4852,61,10
2017,2017Q2,04,F708H,Minor Injury Unit or Other,128,128,0,0
2017,2017Q2,04,F709H,Minor Injury Unit or Other,225,225,0,0
2017,2017Q2,04,F805H,Minor Injury Unit or Other,1818,1817,1,1
2017,2017Q2,04,V201H,Minor Injury Unit or Other,1438,1433,0,0
2017,2017Q2,04,V217H,Emergency Department,5476,4851,11,0
2017,2017Q2,04,N101H,Emergency Department,4739,4393,9,0
2017,2017Q2,04,N121H,Emergency Department,1262,1245,0,0
2017,2017Q2,04,N151H,Minor Injury Unit or Other,99,99,0,0
2017,2017Q2,04,N331H,Minor Injury Unit or Other,9,9,0,0
2017,2017Q2,04,N332H,Minor Injury Unit or Other,26,26,0,0
2017,2017Q2,04,N333H,Minor Injury Unit or Other,1315,1315,0,0
2017,2017Q2,04,N334H,Minor Injury Unit or Other,705,703,0,0
2017,2017Q2,04,N335H,Minor Injury Unit or Other,233,232,0,0
2017,2017Q2,04,N336H,Minor Injury Unit or Other,192,192,0,0
2017,2017Q2,04,N337H,Minor Injury Unit or Other,260,252,0,0
2017,2017Q2,04,N411H,Emergency Department,2071,2012,1,1
2017,2017Q2,04,N431H,Minor Injury Unit or Other,55,55,0,0
2017,2017Q2,04,N432H,Minor Injury Unit or Other,17,17,0,0
2017,2017Q2,04,N433H,Minor Injury Unit or Other,88,88,0,0
2017,2017Q2,04,N451H,Minor Injury Unit or Other,19,19,0,0
2017,2017Q2,04,N494H,Minor Injury Unit or Other,96,96,0,0
2017,2017Q2,04,N683C,Minor Injury Unit or Other,24,24,0,0
2017,2017Q2,04,C206H,Minor Injury Unit or Other,1424,1380,0,0
2017,2017Q2,04,C313H,Emergency Department,2716,2543,4,0
2017,2017Q2,04,C418H,Emergency Department,5575,5052,29,0
2017,2017Q2,04,G107H,Emergency Department,7707,6405,61,1
2017,2017Q2,04,G207H,Minor Injury Unit or Other,1714,1711,0,0
2017,2017Q2,04,G306H,Minor Injury Unit or Other,2703,2703,0,0
2017,2017Q2,04,G405H,Emergency Department,8233,6553,117,3
2017,2017Q2,04,G513H,Emergency Department,4918,4889,0,0
2017,2017Q2,04,C106H,Minor Injury Unit or Other,634,634,0,0
2017,2017Q2,04,C108H,Minor Injury Unit or Other,100,100,0,0
2017,2017Q2,04,C113H,Minor Injury Unit or Other,340,337,0,0
2017,2017Q2,04,C121H,Emergency Department,641,629,3,1
2017,2017Q2,04,C122H,Minor Injury Unit or Other,460,460,0,0
2017,2017Q2,04,H101H,Minor Injury Unit or Other,168,168,0,0
2017,2017Q2,04,H103H,Emergency Department,558,540,2,1
2017,2017Q2,04,H106H,Minor Injury Unit or Other,42,42,0,0
2017,2017Q2,04,H202H,Emergency Department,2800,2595,7,0
2017,2017Q2,04,H208H,Minor Injury Unit or Other,414,414,0,0
2017,2017Q2,04,H210H,Minor Injury Unit or Other,60,60,0,0
2017,2017Q2,04,H212H,Emergency Department,751,731,2,0
2017,2017Q2,04,H214H,Minor Injury Unit or Other,364,364,0,0
2017,2017Q2,04,H215H,Minor Injury Unit or Other,209,209,0,0
2017,2017Q2,04,H217H,Minor Injury Unit or Other,9,9,0,0
2017,2017Q2,04,H219H,Minor Injury Unit or Other,102,102,0,0
2017,2017Q2,04,H224H,Minor Injury Unit or Other,388,383,0,0
2017,2017Q2,04,H227B,Minor Injury Unit or Other,109,109,0,0
2017,2017Q2,04,H227H,Minor Injury Unit or Other,128,128,0,0
2017,2017Q2,04,L106H,Emergency Department,5695,5422,5,0
2017,2017Q2,04,L206H,Minor Injury Unit or Other,69,69,0,0
2017,2017Q2,04,L207H,Minor Injury Unit or Other,99,99,0,0
2017,2017Q2,04,L302H,Emergency Department,5293,4802,87,27
2017,2017Q2,04,L308H,Emergency Department,5523,4939,79,16
2017,2017Q2,04,S108H,Minor Injury Unit or Other,157,157,0,0
2017,2017Q2,04,S116H,Minor Injury Unit or Other,3736,3417,33,7
2017,2017Q2,04,S308H,Emergency Department,4560,4414,7,0
2017,2017Q2,04,S314H,Emergency Department,9711,9189,128,27
2017,2017Q2,04,S319H,Emergency Department,4132,4060,1,0
2017,2017Q2,04,R103H,Emergency Department,521,497,0,0
2017,2017Q2,04,Z102H,Emergency Department,619,603,0,0
2017,2017Q2,04,T101H,Emergency Department,4149,4071,0,0
2017,2017Q2,04,T202H,Emergency Department,2074,2019,1,0
2017,2017Q2,04,T205H,Minor Injury Unit or Other,37,37,0,0
2017,2017Q2,04,T209H,Minor Injury Unit or Other,280,279,0,0
2017,2017Q2,04,T304H,Minor Injury Unit or Other,1302,1302,0,0
2017,2017Q2,04,T305H,Minor Injury Unit or Other,211,211,0,0
2017,2017Q2,04,T316H,Minor Injury Unit or Other,114,114,0,0
2017,2017Q2,04,T319H,Minor Injury Unit or Other,540,540,0,0
2017,2017Q2,04,T320H,Minor Injury Unit or Other,215,215,0,0
2017,2017Q2,04,T357C,Minor Injury Unit or Other,466,466,0,0
2017,2017Q2,04,W106H,Minor Injury Unit or Other,53,53,0,0
2017,2017Q2,04,W107H,Emergency Department,532,529,0,0
2017,2017Q2,04,W108H,Minor Injury Unit or Other,147,147,0,0
2017,2017Q2,05,A101H,Minor Injury Unit or Other,276,271,0,0
2017,2017Q2,05,A110H,Minor Injury Unit or Other,119,119,0,0
2017,2017Q2,05,A111H,Emergency Department,6507,6117,52,11
2017,2017Q2,05,A210H,Emergency Department,4257,4127,10,1
2017,2017Q2,05,A216H,Minor Injury Unit or Other,110,110,0,0
2017,2017Q2,05,B103H,Minor Injury Unit or Other,9,9,0,0
2017,2017Q2,05,B105H,Minor Injury Unit or Other,106,106,0,0
2017,2017Q2,05,B114H,Minor Injury Unit or Other,11,11,0,0
2017,2017Q2,05,B118H,Minor Injury Unit or Other,73,73,0,0
2017,2017Q2,05,B120H,Emergency Department,2678,2490,13,1
2017,2017Q2,05,Y101H,Minor Injury Unit or Other,28,28,0,0
2017,2017Q2,05,Y106H,Minor Injury Unit or Other,29,29,0,0
2017,2017Q2,05,Y109H,Minor Injury Unit or Other,3,3,0,0
2017,2017Q2,05,Y110H,Minor Injury Unit or Other,7,7,0,0
2017,2017Q2,05,Y144H,Emergency Department,1125,1076,3,1
2017,2017Q2,05,Y146H,Emergency Department,3372,3211,0,0
2017,2017Q2,05,F704H,Emergency Department,5675,5235,51,7
2017,2017Q2,05,F708H,Minor Injury Unit or Other,194,194,0,0
2017,2017Q2,05,F709H,Minor Injury Unit or Other,305,305,0,0
2017,2017Q2,05,F805H,Minor Injury Unit or Other,2101,2099,0,0
2017,2017Q2,05,V201H,Minor Injury Unit or Other,1589,1588,0,0
2017,2017Q2,05,V217H,Emergency Department,5995,5373,60,7
2017,2017Q2,05,N101H,Emergency Department,5086,4775,9,1
2017,2017Q2,05,N121H,Emergency Department,1615,1591,0,0
2017,2017Q2,05,N151H,Minor Injury Unit or Other,128,128,0,0
2017,2017Q2,05,N331H,Minor Injury Unit or Other,19,19,0,0
2017,2017Q2,05,N332H,Minor Injury Unit or Other,44,44,0,0
2017,2017Q2,05,N333H,Minor Injury Unit or Other,1434,1432,0,0
2017,2017Q2,05,N334H,Minor Injury Unit or Other,762,759,0,0
2017,2017Q2,05,N335H,Minor Injury Unit or Other,294,291,0,0
2017,2017Q2,05,N336H,Minor Injury Unit or Other,208,208,0,0
2017,2017Q2,05,N337H,Minor Injury Unit or Other,291,283,0,0
2017,2017Q2,05,N411H,Emergency Department,2268,2223,1,0
2017,2017Q2,05,N431H,Minor Injury Unit or Other,62,62,0,0
2017,2017Q2,05,N432H,Minor Injury Unit or Other,25,25,0,0
2017,2017Q2,05,N433H,Minor Injury Unit or Other,83,83,0,0
2017,2017Q2,05,N451H,Minor Injury Unit or Other,19,19,0,0
2017,2017Q2,05,N494H,Minor Injury Unit or Other,108,108,0,0
2017,2017Q2,05,N683C,Minor Injury Unit or Other,69,69,0,0
2017,2017Q2,05,C206H,Minor Injury Unit or Other,1698,1662,0,0
2017,2017Q2,05,C313H,Emergency Department,2939,2792,6,0
2017,2017Q2,05,C418H,Emergency Department,5851,5207,46,0
2017,2017Q2,05,G107H,Emergency Department,8351,7055,77,1
2017,2017Q2,05,G207H,Minor Injury Unit or Other,1995,1992,0,0
2017,2017Q2,05,G306H,Minor Injury Unit or Other,3270,3268,0,0
2017,2017Q2,05,G405H,Emergency Department,8950,7541,53,0
2017,2017Q2,05,G513H,Emergency Department,5475,5440,1,0
2017,2017Q2,05,C106H,Minor Injury Unit or Other,741,741,0,0
2017,2017Q2,05,C108H,Minor Injury Unit or Other,125,125,0,0
2017,2017Q2,05,C113H,Minor Injury Unit or Other,408,405,0,0
2017,2017Q2,05,C121H,Emergency Department,797,789,0,0
2017,2017Q2,05,C122H,Minor Injury Unit or Other,503,501,0,0
2017,2017Q2,05,H101H,Minor Injury Unit or Other,219,219,0,0
2017,2017Q2,05,H103H,Emergency Department,637,632,0,0
2017,2017Q2,05,H106H,Minor Injury Unit or Other,71,71,0,0
2017,2017Q2,05,H202H,Emergency Department,3214,3017,5,0
2017,2017Q2,05,H208H,Minor Injury Unit or Other,469,469,0,0
2017,2017Q2,05,H210H,Minor Injury Unit or Other,109,109,0,0
2017,2017Q2,05,H212H,Emergency Department,932,899,2,0
2017,2017Q2,05,H214H,Minor Injury Unit or Other,486,486,0,0
2017,2017Q2,05,H215H,Minor Injury Unit or Other,232,232,0,0
2017,2017Q2,05,H217H,Minor Injury Unit or Other,34,34,0,0
2017,2017Q2,05,H219H,Minor Injury Unit or Other,136,136,0,0
2017,2017Q2,05,H224H,Minor Injury Unit or Other,433,428,0,0
2017,2017Q2,05,H227B,Minor Injury Unit or Other,148,148,0,0
2017,2017Q2,05,H227H,Minor Injury Unit or Other,109,106,0,0
2017,2017Q2,05,L106H,Emergency Department,6165,5895,24,1
2017,2017Q2,05,L206H,Minor Injury Unit or Other,57,57,0,0
2017,2017Q2,05,L207H,Minor Injury Unit or Other,115,115,0,0
2017,2017Q2,05,L302H,Emergency Department,5876,5307,88,26
2017,2017Q2,05,L308H,Emergency Department,6510,5920,33,1
2017,2017Q2,05,S108H,Minor Injury Unit or Other,166,166,0,0
2017,2017Q2,05,S116H,Minor Injury Unit or Other,4208,3856,74,33
2017,2017Q2,05,S308H,Emergency Department,4872,4752,5,0
2017,2017Q2,05,S314H,Emergency Department,10455,9848,83,5
2017,2017Q2,05,S319H,Emergency Department,4424,4327,4,0
2017,2017Q2,05,R103H,Emergency Department,563,543,3,0
2017,2017Q2,05,Z102H,Emergency Department,680,656,1,0
2017,2017Q2,05,T101H,Emergency Department,4393,4254,0,0
2017,2017Q2,05,T202H,Emergency Department,2344,2259,0,0
2017,2017Q2,05,T205H,Minor Injury Unit or Other,34,34,0,0
2017,2017Q2,05,T209H,Minor Injury Unit or Other,320,320,0,0
2017,2017Q2,05,T304H,Minor Injury Unit or Other,1421,1421,0,0
2017,2017Q2,05,T305H,Minor Injury Unit or Other,190,190,0,0
2017,2017Q2,05,T316H,Minor Injury Unit or Other,107,107,0,0
2017,2017Q2,05,T319H,Minor Injury Unit or Other,590,590,0,0
2017,2017Q2,05,T320H,Minor Injury Unit or Other,206,206,0,0
2017,2017Q2,05,T357C,Minor Injury Unit or Other,464,464,0,0
2017,2017Q2,05,W106H,Minor Injury Unit or Other,85,85,0,0
2017,2017Q2,05,W107H,Emergency Department,584,579,0,0
2017,2017Q2,05,W108H,Minor Injury Unit or Other,174,173,0,0
2017,2017Q2,06,A101H,Minor Injury Unit or Other,233,217,0,0
2017,2017Q2,06,A110H,Minor Injury Unit or Other,101,100,0,0
2017,2017Q2,06,A111H,Emergency Department,5740,5555,29,8
2017,2017Q2,06,A210H,Emergency Department,3702,3591,14,0
2017,2017Q2,06,A216H,Minor Injury Unit or Other,78,78,0,0
2017,2017Q2,06,B103H,Minor Injury Unit or Other,15,15,0,0
2017,2017Q2,06,B105H,Minor Injury Unit or Other,97,97,0,0
2017,2017Q2,06,B114H,Minor Injury Unit or Other,16,16,0,0
2017,2017Q2,06,B118H,Minor Injury Unit or Other,60,60,0,0
2017,2017Q2,06,B120H,Emergency Department,2555,2478,2,0
2017,2017Q2,06,Y101H,Minor Injury Unit or Other,23,23,0,0
2017,2017Q2,06,Y106H,Minor Injury Unit or Other,33,33,0,0
2017,2017Q2,06,Y109H,Minor Injury Unit or Other,2,2,0,0
2017,2017Q2,06,Y110H,Minor Injury Unit or Other,9,9,0,0
2017,2017Q2,06,Y144H,Emergency Department,1031,983,0,0
2017,2017Q2,06,Y146H,Emergency Department,3145,3008,1,0
2017,2017Q2,06,F704H,Emergency Department,5350,5056,12,1
2017,2017Q2,06,F708H,Minor Injury Unit or Other,178,178,0,0
2017,2017Q2,06,F709H,Minor Injury Unit or Other,251,251,0,0
2017,2017Q2,06,F805H,Minor Injury Unit or Other,1992,1989,0,0
2017,2017Q2,06,V201H,Minor Injury Unit or Other,1506,1504,0,0
2017,2017Q2,06,V217H,Emergency Department,5571,5193,2,0
2017,2017Q2,06,N101H,Emergency Department,4780,4539,4,0
2017,2017Q2,06,N121H,Emergency Department,1432,1405,0,0
2017,2017Q2,06,N151H,Minor Injury Unit or Other,118,118,0,0
2017,2017Q2,06,N331H,Minor Injury Unit or Other,14,14,0,0
2017,2017Q2,06,N332H,Minor Injury Unit or Other,37,37,0,0
2017,2017Q2,06,N333H,Minor Injury Unit or Other,1304,1302,0,0
2017,2017Q2,06,N334H,Minor Injury Unit or Other,711,707,0,0
2017,2017Q2,06,N335H,Minor Injury Unit or Other,291,290,0,0
2017,2017Q2,06,N336H,Minor Injury Unit or Other,194,194,0,0
2017,2017Q2,06,N337H,Minor Injury Unit or Other,281,273,0,0
2017,2017Q2,06,N411H,Emergency Department,2157,2105,4,0
2017,2017Q2,06,N431H,Minor Injury Unit or Other,51,51,0,0
2017,2017Q2,06,N432H,Minor Injury Unit or Other,19,19,0,0
2017,2017Q2,06,N433H,Minor Injury Unit or Other,89,89,0,0
2017,2017Q2,06,N451H,Minor Injury Unit or Other,15,15,0,0
2017,2017Q2,06,N494H,Minor Injury Unit or Other,92,92,0,0
2017,2017Q2,06,N683C,Minor Injury Unit or Other,44,44,0,0
2017,2017Q2,06,C206H,Minor Injury Unit or Other,1484,1458,0,0
2017,2017Q2,06,C313H,Emergency Department,2691,2529,7,0
2017,2017Q2,06,C418H,Emergency Department,5350,4908,27,0
2017,2017Q2,06,G107H,Emergency Department,7709,6710,27,0
2017,2017Q2,06,G207H,Minor Injury Unit or Other,1716,1716,0,0
2017,2017Q2,06,G306H,Minor Injury Unit or Other,2928,2928,0,0
2017,2017Q2,06,G405H,Emergency Department,8283,7516,18,0
2017,2017Q2,06,G513H,Emergency Department,4765,4745,0,0
2017,2017Q2,06,C106H,Minor Injury Unit or Other,669,669,0,0
2017,2017Q2,06,C108H,Minor Injury Unit or Other,102,102,0,0
2017,2017Q2,06,C113H,Minor Injury Unit or Other,422,415,0,0
2017,2017Q2,06,C121H,Emergency Department,726,708,0,0
2017,2017Q2,06,C122H,Minor Injury Unit or Other,500,498,0,0
2017,2017Q2,06,H101H,Minor Injury Unit or Other,217,217,0,0
2017,2017Q2,06,H103H,Emergency Department,621,609,0,0
2017,2017Q2,06,H106H,Minor Injury Unit or Other,51,51,0,0
2017,2017Q2,06,H202H,Emergency Department,3038,2868,3,0
2017,2017Q2,06,H208H,Minor Injury Unit or Other,434,434,0,0
2017,2017Q2,06,H210H,Minor Injury Unit or Other,94,94,0,0
2017,2017Q2,06,H212H,Emergency Department,904,871,1,0
2017,2017Q2,06,H214H,Minor Injury Unit or Other,432,432,0,0
2017,2017Q2,06,H215H,Minor Injury Unit or Other,265,265,0,0
2017,2017Q2,06,H217H,Minor Injury Unit or Other,40,40,0,0
2017,2017Q2,06,H219H,Minor Injury Unit or Other,175,175,0,0
2017,2017Q2,06,H224H,Minor Injury Unit or Other,379,376,0,0
2017,2017Q2,06,H227B,Minor Injury Unit or Other,150,150,0,0
2017,2017Q2,06,H227H,Minor Injury Unit or Other,150,150,0,0
2017,2017Q2,06,L106H,Emergency Department,5805,5624,6,0
2017,2017Q2,06,L206H,Minor Injury Unit or Other,92,92,0,0
2017,2017Q2,06,L207H,Minor Injury Unit or Other,109,109,0,0
2017,2017Q2,06,L302H,Emergency Department,5250,4834,59,28
2017,2017Q2,06,L308H,Emergency Department,5997,5641,16,0
2017,2017Q2,06,S108H,Minor Injury Unit or Other,201,201,0,0
2017,2017Q2,06,S116H,Minor Injury Unit or Other,3944,3577,80,31
2017,2017Q2,06,S308H,Emergency Department,4584,4440,4,0
2017,2017Q2,06,S314H,Emergency Department,9872,9485,50,4
2017,2017Q2,06,S319H,Emergency Department,4101,4028,3,0
2017,2017Q2,06,R103H,Emergency Department,516,511,0,0
2017,2017Q2,06,Z102H,Emergency Department,665,652,1,1
2017,2017Q2,06,T101H,Emergency Department,4080,4040,0,0
2017,2017Q2,06,T202H,Emergency Department,2098,2020,1,0
2017,2017Q2,06,T205H,Minor Injury Unit or Other,44,44,0,0
2017,2017Q2,06,T209H,Minor Injury Unit or Other,287,287,0,0
2017,2017Q2,06,T304H,Minor Injury Unit or Other,1308,1308,0,0
2017,2017Q2,06,T305H,Minor Injury Unit or Other,172,172,0,0
2017,2017Q2,06,T316H,Minor Injury Unit or Other,101,101,0,0
2017,2017Q2,06,T319H,Minor Injury Unit or Other,560,560,0,0
2017,2017Q2,06,T320H,Minor Injury Unit or Other,234,232,0,0
2017,2017Q2,06,T357C,Minor Injury Unit or Other,410,410,0,0
2017,2017Q2,06,W106H,Minor Injury Unit or Other,54,54,0,0
2017,2017Q2,06,W107H,Emergency Department,556,554,0,0
2017,2017Q2,06,W108H,Minor Injury Unit or Other,149,148,0,0
2017,2017Q3,07,A101H,Minor Injury Unit or Other,268,267,0,0
2017,2017Q3,07,A110H,Minor Injury Unit or Other,84,84,0,0
2017,2017Q3,07,A111H,Emergency Department,5769,5583,19,0
2017,2017Q3,07,A210H,Emergency Department,3235,3106,27,8
2017,2017Q3,07,A216H,Minor Injury Unit or Other,101,101,0,0
2017,2017Q3,07,B103H,Minor Injury Unit or Other,6,6,0,0
2017,2017Q3,07,B105H,Minor Injury Unit or Other,75,75,0,0
2017,2017Q3,07,B114H,Minor Injury Unit or Other,7,7,0,0
2017,2017Q3,07,B118H,Minor Injury Unit or Other,51,51,0,0
2017,2017Q3,07,B120H,Emergency Department,2514,2408,3,0
2017,2017Q3,07,Y101H,Minor Injury Unit or Other,38,38,0,0
2017,2017Q3,07,Y106H,Minor Injury Unit or Other,41,41,0,0
2017,2017Q3,07,Y109H,Minor Injury Unit or Other,3,3,0,0
2017,2017Q3,07,Y110H,Minor Injury Unit or Other,9,9,0,0
2017,2017Q3,07,Y144H,Emergency Department,1101,1033,1,0
2017,2017Q3,07,Y146H,Emergency Department,3296,3129,4,0
2017,2017Q3,07,F704H,Emergency Department,5493,5210,9,0
2017,2017Q3,07,F708H,Minor Injury Unit or Other,130,130,0,0
2017,2017Q3,07,F709H,Minor Injury Unit or Other,296,295,0,0
2017,2017Q3,07,F805H,Minor Injury Unit or Other,1749,1746,0,0
2017,2017Q3,07,V201H,Minor Injury Unit or Other,1442,1442,0,0
2017,2017Q3,07,V217H,Emergency Department,5562,5089,6,0
2017,2017Q3,07,N101H,Emergency Department,4884,4503,9,0
2017,2017Q3,07,N121H,Emergency Department,1146,1133,0,0
2017,2017Q3,07,N151H,Minor Injury Unit or Other,99,99,0,0
2017,2017Q3,07,N331H,Minor Injury Unit or Other,13,13,0,0
2017,2017Q3,07,N332H,Minor Injury Unit or Other,25,25,0,0
2017,2017Q3,07,N333H,Minor Injury Unit or Other,1397,1395,0,0
2017,2017Q3,07,N334H,Minor Injury Unit or Other,707,701,0,0
2017,2017Q3,07,N335H,Minor Injury Unit or Other,298,297,0,0
2017,2017Q3,07,N336H,Minor Injury Unit or Other,156,156,0,0
2017,2017Q3,07,N337H,Minor Injury Unit or Other,280,274,0,0
2017,2017Q3,07,N411H,Emergency Department,2205,2168,0,0
2017,2017Q3,07,N431H,Minor Injury Unit or Other,67,67,0,0
2017,2017Q3,07,N432H,Minor Injury Unit or Other,26,26,0,0
2017,2017Q3,07,N433H,Minor Injury Unit or Other,93,93,0,0
2017,2017Q3,07,N451H,Minor Injury Unit or Other,19,19,0,0
2017,2017Q3,07,N494H,Minor Injury Unit or Other,93,93,0,0
2017,2017Q3,07,N683C,Minor Injury Unit or Other,39,39,0,0
2017,2017Q3,07,C206H,Minor Injury Unit or Other,1468,1451,0,0
2017,2017Q3,07,C313H,Emergency Department,2784,2600,7,0
2017,2017Q3,07,C418H,Emergency Department,5305,4842,17,1
2017,2017Q3,07,G107H,Emergency Department,7779,7200,12,0
2017,2017Q3,07,G207H,Minor Injury Unit or Other,1552,1551,0,0
2017,2017Q3,07,G306H,Minor Injury Unit or Other,2747,2747,0,0
2017,2017Q3,07,G405H,Emergency Department,8689,8013,6,0
2017,2017Q3,07,G513H,Emergency Department,4137,4123,0,0
2017,2017Q3,07,C106H,Minor Injury Unit or Other,743,743,0,0
2017,2017Q3,07,C108H,Minor Injury Unit or Other,110,110,0,0
2017,2017Q3,07,C113H,Minor Injury Unit or Other,424,422,0,0
2017,2017Q3,07,C121H,Emergency Department,742,729,1,1
2017,2017Q3,07,C122H,Minor Injury Unit or Other,494,489,0,0
2017,2017Q3,07,H101H,Minor Injury Unit or Other,245,245,0,0
2017,2017Q3,07,H103H,Emergency Department,683,674,1,0
2017,2017Q3,07,H106H,Minor Injury Unit or Other,76,76,0,0
2017,2017Q3,07,H202H,Emergency Department,3080,2920,6,0
2017,2017Q3,07,H208H,Minor Injury Unit or Other,430,430,0,0
2017,2017Q3,07,H210H,Minor Injury Unit or Other,89,89,0,0
2017,2017Q3,07,H212H,Emergency Department,943,912,2,0
2017,2017Q3,07,H214H,Minor Injury Unit or Other,472,472,0,0
2017,2017Q3,07,H215H,Minor Injury Unit or Other,293,293,0,0
2017,2017Q3,07,H217H,Minor Injury Unit or Other,80,80,0,0
2017,2017Q3,07,H219H,Minor Injury Unit or Other,167,167,0,0
2017,2017Q3,07,H224H,Minor Injury Unit or Other,384,380,0,0
2017,2017Q3,07,H227B,Minor Injury Unit or Other,167,167,0,0
2017,2017Q3,07,H227H,Minor Injury Unit or Other,150,149,0,0
2017,2017Q3,07,L106H,Emergency Department,5616,5443,6,0
2017,2017Q3,07,L206H,Minor Injury Unit or Other,68,68,0,0
2017,2017Q3,07,L207H,Minor Injury Unit or Other,75,75,0,0
2017,2017Q3,07,L302H,Emergency Department,5466,5116,25,4
2017,2017Q3,07,L308H,Emergency Department,5773,5519,12,0
2017,2017Q3,07,S108H,Minor Injury Unit or Other,183,183,0,0
2017,2017Q3,07,S116H,Minor Injury Unit or Other,3919,3665,30,7
2017,2017Q3,07,S308H,Emergency Department,4411,4311,6,0
2017,2017Q3,07,S314H,Emergency Department,10069,9598,67,6
2017,2017Q3,07,S319H,Emergency Department,3311,3278,1,0
2017,2017Q3,07,R103H,Emergency Department,519,493,0,0
2017,2017Q3,07,Z102H,Emergency Department,682,662,0,0
2017,2017Q3,07,T101H,Emergency Department,4092,3993,1,0
2017,2017Q3,07,T202H,Emergency Department,2214,2164,0,0
2017,2017Q3,07,T205H,Minor Injury Unit or Other,28,28,0,0
2017,2017Q3,07,T209H,Minor Injury Unit or Other,285,285,0,0
2017,2017Q3,07,T304H,Minor Injury Unit or Other,1391,1389,0,0
2017,2017Q3,07,T305H,Minor Injury Unit or Other,205,205,0,0
2017,2017Q3,07,T316H,Minor Injury Unit or Other,59,59,0,0
2017,2017Q3,07,T319H,Minor Injury Unit or Other,562,562,0,0
2017,2017Q3,07,T320H,Minor Injury Unit or Other,274,274,0,0
2017,2017Q3,07,T357C,Minor Injury Unit or Other,413,413,0,0
2017,2017Q3,07,W106H,Minor Injury Unit or Other,95,95,0,0
2017,2017Q3,07,W107H,Emergency Department,694,689,0,0
2017,2017Q3,07,W108H,Minor Injury Unit or Other,173,173,0,0
2017,2017Q3,08,A101H,Minor Injury Unit or Other,243,238,0,0
2017,2017Q3,08,A110H,Minor Injury Unit or Other,71,71,0,0
2017,2017Q3,08,A111H,Emergency Department,5784,5417,63,10
2017,2017Q3,08,A210H,Emergency Department,3153,3030,7,0
2017,2017Q3,08,A216H,Minor Injury Unit or Other,99,99,0,0
2017,2017Q3,08,B103H,Minor Injury Unit or Other,14,14,0,0
2017,2017Q3,08,B105H,Minor Injury Unit or Other,86,86,0,0
2017,2017Q3,08,B114H,Minor Injury Unit or Other,14,14,0,0
2017,2017Q3,08,B118H,Minor Injury Unit or Other,58,58,0,0
2017,2017Q3,08,B120H,Emergency Department,2571,2483,1,0
2017,2017Q3,08,Y101H,Minor Injury Unit or Other,35,35,0,0
2017,2017Q3,08,Y106H,Minor Injury Unit or Other,49,49,0,0
2017,2017Q3,08,Y109H,Minor Injury Unit or Other,2,2,0,0
2017,2017Q3,08,Y110H,Minor Injury Unit or Other,16,16,0,0
2017,2017Q3,08,Y144H,Emergency Department,1087,1031,6,1
2017,2017Q3,08,Y146H,Emergency Department,3172,2961,2,0
2017,2017Q3,08,F704H,Emergency Department,5562,5308,8,0
2017,2017Q3,08,F708H,Minor Injury Unit or Other,153,153,0,0
2017,2017Q3,08,F709H,Minor Injury Unit or Other,316,316,0,0
2017,2017Q3,08,F805H,Minor Injury Unit or Other,1906,1903,0,0
2017,2017Q3,08,V201H,Minor Injury Unit or Other,1535,1534,0,0
2017,2017Q3,08,V217H,Emergency Department,5536,5079,7,0
2017,2017Q3,08,N101H,Emergency Department,4977,4541,14,0
2017,2017Q3,08,N121H,Emergency Department,1262,1259,0,0
2017,2017Q3,08,N151H,Minor Injury Unit or Other,139,139,0,0
2017,2017Q3,08,N331H,Minor Injury Unit or Other,10,10,0,0
2017,2017Q3,08,N332H,Minor Injury Unit or Other,27,27,0,0
2017,2017Q3,08,N333H,Minor Injury Unit or Other,1286,1284,0,0
2017,2017Q3,08,N334H,Minor Injury Unit or Other,669,669,0,0
2017,2017Q3,08,N335H,Minor Injury Unit or Other,320,320,0,0
2017,2017Q3,08,N336H,Minor Injury Unit or Other,171,171,0,0
2017,2017Q3,08,N337H,Minor Injury Unit or Other,300,294,0,0
2017,2017Q3,08,N411H,Emergency Department,2171,2104,2,0
2017,2017Q3,08,N431H,Minor Injury Unit or Other,78,78,0,0
2017,2017Q3,08,N432H,Minor Injury Unit or Other,21,21,0,0
2017,2017Q3,08,N433H,Minor Injury Unit or Other,119,119,0,0
2017,2017Q3,08,N451H,Minor Injury Unit or Other,12,12,0,0
2017,2017Q3,08,N494H,Minor Injury Unit or Other,121,121,0,0
2017,2017Q3,08,N683C,Minor Injury Unit or Other,42,42,0,0
