year,year_quarter,month,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,attendance_greater8hrs,attendance_greater12hrs,discharge_destination_admission_to_same,discharge_destination_other_specialty,discharge_destination_residence,discharge_destination_transfer,discharge_destination_unknown
2017,2017Q1,02,N494H,Minor Injury Unit or Other,60,60,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,N683C,Minor Injury Unit or Other,28,28,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,C206H,Minor Injury Unit or Other,1248,1208,0,0,214,1,956,69,8
2017,2017Q1,02,C313H,Emergency Department,2258,2145,6,0,606,2,1453,32,165
2017,2017Q1,02,C418H,Emergency Department,5090,4558,35,0,1737,15,3131,99,108
2017,2017Q1,02,G107H,Emergency Department,6953,6021,41,3,2094,16,4369,174,300
2017,2017Q1,02,G207H,Minor Injury Unit or Other,1446,1446,0,0,0,0,1340,91,15
2017,2017Q1,02,G306H,Minor Injury Unit or Other,2302,2299,0,0,0,0,2051,237,14
2017,2017Q1,02,G405H,Emergency Department,7391,6040,165,28,2315,21,4719,97,239
2017,2017Q1,02,G513H,Emergency Department,4324,4292,0,0,785,3,3527,2,7
2017,2017Q1,02,C106H,Minor Injury Unit or Other,497,497,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,C108H,Minor Injury Unit or Other,80,80,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,C113H,Minor Injury Unit or Other,306,302,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,C121H,Emergency Department,488,485,1,1,142,0,331,15,0
2017,2017Q1,02,C122H,Minor Injury Unit or Other,313,311,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H101H,Minor Injury Unit or Other,169,169,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H103H,Emergency Department,501,453,8,3,153,1,346,1,0
2017,2017Q1,02,H106H,Minor Injury Unit or Other,48,48,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H202H,Emergency Department,2476,2195,16,4,708,5,1748,15,0
2017,2017Q1,02,H208H,Minor Injury Unit or Other,365,364,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H210H,Minor Injury Unit or Other,44,44,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H212H,Emergency Department,582,556,0,0,132,1,444,5,0
2017,2017Q1,02,H214H,Minor Injury Unit or Other,265,265,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H215H,Minor Injury Unit or Other,152,152,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H217H,Minor Injury Unit or Other,50,50,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H219H,Minor Injury Unit or Other,108,108,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H224H,Minor Injury Unit or Other,287,280,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H227B,Minor Injury Unit or Other,134,134,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,H227H,Minor Injury Unit or Other,88,88,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,L106H,Emergency Department,5084,4899,14,2,1736,1,3228,80,39
2017,2017Q1,02,L206H,Minor Injury Unit or Other,67,67,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,L207H,Minor Injury Unit or Other,80,80,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,L302H,Emergency Department,4821,4198,113,48,1514,3,3234,52,18
2017,2017Q1,02,L308H,Emergency Department,5114,4299,132,31,1405,7,3538,71,93
2017,2017Q1,02,S108H,Minor Injury Unit or Other,108,108,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,S116H,Minor Injury Unit or Other,3511,2931,217,108,1023,0,2467,21,0
2017,2017Q1,02,S308H,Emergency Department,4009,3827,11,0,907,6,3027,69,0
2017,2017Q1,02,S314H,Emergency Department,8904,8391,129,19,2559,5,6213,127,0
2017,2017Q1,02,S319H,Emergency Department,3531,3450,2,0,437,1,3019,74,0
2017,2017Q1,02,R103H,Emergency Department,428,402,1,0,116,1,310,1,0
2017,2017Q1,02,Z102H,Emergency Department,584,576,0,0,135,2,439,2,6
2017,2017Q1,02,T101H,Emergency Department,3510,3450,3,0,1120,5,2175,196,14
2017,2017Q1,02,T202H,Emergency Department,1742,1708,0,0,358,6,1091,287,0
2017,2017Q1,02,T205H,Minor Injury Unit or Other,26,26,0,0,0,0,23,3,0
2017,2017Q1,02,T209H,Minor Injury Unit or Other,237,235,0,0,0,0,222,14,1
2017,2017Q1,02,T304H,Minor Injury Unit or Other,940,940,0,0,0,0,826,111,3
2017,2017Q1,02,T305H,Minor Injury Unit or Other,163,163,0,0,0,0,158,5,0
2017,2017Q1,02,T316H,Minor Injury Unit or Other,82,82,0,0,0,0,80,1,1
2017,2017Q1,02,T319H,Minor Injury Unit or Other,419,419,0,0,0,1,400,16,2
2017,2017Q1,02,T320H,Minor Injury Unit or Other,139,139,0,0,0,0,128,9,2
2017,2017Q1,02,T357C,Minor Injury Unit or Other,335,335,0,0,0,0,318,16,1
2017,2017Q1,02,W106H,Minor Injury Unit or Other,34,34,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,02,W107H,Emergency Department,481,481,0,0,117,2,339,11,12
2017,2017Q1,02,W108H,Minor Injury Unit or Other,85,85,0,0,12,0,71,1,1
2017,2017Q1,03,A101H,Minor Injury Unit or Other,213,210,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,A110H,Minor Injury Unit or Other,58,58,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,A111H,Emergency Department,5991,5523,73,21,2129,6,3520,141,195
2017,2017Q1,03,A210H,Emergency Department,3833,3665,21,2,1499,9,2101,122,102
2017,2017Q1,03,A216H,Minor Injury Unit or Other,85,85,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,B103H,Minor Injury Unit or Other,7,7,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,B105H,Minor Injury Unit or Other,84,84,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,B114H,Minor Injury Unit or Other,6,6,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,B118H,Minor Injury Unit or Other,33,33,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,B120H,Emergency Department,2401,2229,9,3,808,7,1415,165,6
2017,2017Q1,03,Y101H,Minor Injury Unit or Other,20,20,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,Y106H,Minor Injury Unit or Other,36,36,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,Y109H,Minor Injury Unit or Other,1,1,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,Y110H,Minor Injury Unit or Other,4,4,0,0,0,0,4,0,0
2017,2017Q1,03,Y144H,Emergency Department,939,904,5,0,76,0,756,80,27
2017,2017Q1,03,Y146H,Emergency Department,3163,2936,5,0,1168,6,1859,65,65
2017,2017Q1,03,F704H,Emergency Department,5324,4958,35,5,1405,9,3577,92,241
2017,2017Q1,03,F708H,Minor Injury Unit or Other,178,178,0,0,0,0,0,0,178
2017,2017Q1,03,F709H,Minor Injury Unit or Other,263,263,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,F805H,Minor Injury Unit or Other,1895,1894,0,0,6,0,1739,117,33
2017,2017Q1,03,V201H,Minor Injury Unit or Other,1315,1312,0,0,4,0,961,53,297
2017,2017Q1,03,V217H,Emergency Department,5493,5302,2,0,1516,11,3173,116,677
2017,2017Q1,03,N101H,Emergency Department,4856,4522,8,0,1313,14,3155,16,358
2017,2017Q1,03,N121H,Emergency Department,1489,1459,0,0,152,1,1258,0,78
2017,2017Q1,03,N151H,Minor Injury Unit or Other,80,80,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N331H,Minor Injury Unit or Other,7,7,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N332H,Minor Injury Unit or Other,30,30,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N333H,Minor Injury Unit or Other,1325,1322,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N334H,Minor Injury Unit or Other,685,683,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N335H,Minor Injury Unit or Other,260,256,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N336H,Minor Injury Unit or Other,176,176,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N337H,Minor Injury Unit or Other,285,280,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N411H,Emergency Department,2137,2057,1,0,437,2,1617,27,54
2017,2017Q1,03,N431H,Minor Injury Unit or Other,59,59,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N432H,Minor Injury Unit or Other,18,18,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N433H,Minor Injury Unit or Other,93,93,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N451H,Minor Injury Unit or Other,12,12,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N494H,Minor Injury Unit or Other,93,93,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,N683C,Minor Injury Unit or Other,38,38,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,C206H,Minor Injury Unit or Other,1532,1501,0,0,211,0,1210,95,16
2017,2017Q1,03,C313H,Emergency Department,2769,2637,5,0,678,2,1823,45,221
2017,2017Q1,03,C418H,Emergency Department,5821,5208,23,1,1906,16,3677,127,95
2017,2017Q1,03,G107H,Emergency Department,7715,6658,20,0,2243,20,4912,165,375
2017,2017Q1,03,G207H,Minor Injury Unit or Other,1847,1847,0,0,0,0,1682,124,41
2017,2017Q1,03,G306H,Minor Injury Unit or Other,2837,2836,0,0,0,1,2513,272,51
2017,2017Q1,03,G405H,Emergency Department,8367,6848,105,13,2646,22,5334,99,266
2017,2017Q1,03,G513H,Emergency Department,5424,5402,0,0,934,1,4479,1,9
2017,2017Q1,03,C106H,Minor Injury Unit or Other,591,591,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,C108H,Minor Injury Unit or Other,99,99,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,C113H,Minor Injury Unit or Other,312,308,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,C121H,Emergency Department,605,592,2,0,178,1,413,13,0
2017,2017Q1,03,C122H,Minor Injury Unit or Other,464,463,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H101H,Minor Injury Unit or Other,154,154,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H103H,Emergency Department,627,598,6,0,182,1,441,3,0
2017,2017Q1,03,H106H,Minor Injury Unit or Other,45,45,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H202H,Emergency Department,2806,2621,6,0,717,1,2077,11,0
2017,2017Q1,03,H208H,Minor Injury Unit or Other,417,417,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H210H,Minor Injury Unit or Other,72,72,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H212H,Emergency Department,670,651,0,0,148,1,518,3,0
2017,2017Q1,03,H214H,Minor Injury Unit or Other,366,366,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H215H,Minor Injury Unit or Other,181,181,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H217H,Minor Injury Unit or Other,45,45,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H219H,Minor Injury Unit or Other,128,128,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H224H,Minor Injury Unit or Other,343,336,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H227B,Minor Injury Unit or Other,178,178,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,H227H,Minor Injury Unit or Other,115,114,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,L106H,Emergency Department,5896,5615,7,1,1920,6,3832,93,45
2017,2017Q1,03,L206H,Minor Injury Unit or Other,55,55,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,L207H,Minor Injury Unit or Other,79,79,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,L302H,Emergency Department,5493,4842,95,13,1628,5,3773,61,26
2017,2017Q1,03,L308H,Emergency Department,5696,4913,109,25,1381,8,4122,67,118
2017,2017Q1,03,S108H,Minor Injury Unit or Other,147,147,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,S116H,Minor Injury Unit or Other,3959,3688,49,14,1179,0,2768,12,0
2017,2017Q1,03,S308H,Emergency Department,4759,4543,6,0,1012,4,3646,97,0
2017,2017Q1,03,S314H,Emergency Department,9959,9546,66,5,2700,14,7104,141,0
2017,2017Q1,03,S319H,Emergency Department,4652,4547,0,0,535,1,4047,69,0
2017,2017Q1,03,R103H,Emergency Department,477,465,0,0,117,0,355,4,1
2017,2017Q1,03,Z102H,Emergency Department,591,574,0,0,151,0,429,6,5
2017,2017Q1,03,T101H,Emergency Department,3986,3934,1,0,1242,13,2456,262,13
2017,2017Q1,03,T202H,Emergency Department,2090,2024,2,0,420,3,1330,315,22
2017,2017Q1,03,T205H,Minor Injury Unit or Other,38,38,0,0,0,0,34,4,0
2017,2017Q1,03,T209H,Minor Injury Unit or Other,284,280,0,0,0,0,269,15,0
2017,2017Q1,03,T304H,Minor Injury Unit or Other,1102,1101,0,0,0,1,1006,92,3
2017,2017Q1,03,T305H,Minor Injury Unit or Other,181,181,0,0,0,0,172,9,0
2017,2017Q1,03,T316H,Minor Injury Unit or Other,88,88,0,0,1,0,77,8,2
2017,2017Q1,03,T319H,Minor Injury Unit or Other,545,545,0,0,0,0,515,29,1
2017,2017Q1,03,T320H,Minor Injury Unit or Other,164,164,0,0,0,0,153,10,1
2017,2017Q1,03,T357C,Minor Injury Unit or Other,383,383,0,0,0,0,364,16,3
2017,2017Q1,03,W106H,Minor Injury Unit or Other,35,35,NA,NA,NA,NA,NA,NA,NA
2017,2017Q1,03,W107H,Emergency Department,511,506,0,0,148,1,347,5,10
2017,2017Q1,03,W108H,Minor Injury Unit or Other,122,122,0,0,13,0,109,0,0
2017,2017Q2,04,A101H,Minor Injury Unit or Other,230,224,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,A110H,Minor Injury Unit or Other,79,79,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,A111H,Emergency Department,5797,5540,20,3,2088,7,3329,140,233
2017,2017Q2,04,A210H,Emergency Department,3850,3719,10,0,1369,4,2214,135,128
2017,2017Q2,04,A216H,Minor Injury Unit or Other,84,84,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,B103H,Minor Injury Unit or Other,8,8,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,B105H,Minor Injury Unit or Other,68,68,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,B114H,Minor Injury Unit or Other,6,6,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,B118H,Minor Injury Unit or Other,39,39,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,B120H,Emergency Department,2567,2395,7,0,844,3,1514,191,15
2017,2017Q2,04,Y101H,Minor Injury Unit or Other,18,18,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,Y106H,Minor Injury Unit or Other,32,32,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,Y109H,Minor Injury Unit or Other,3,3,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,Y110H,Minor Injury Unit or Other,13,13,0,0,0,0,13,0,0
2017,2017Q2,04,Y144H,Emergency Department,1028,980,2,1,77,0,860,64,27
2017,2017Q2,04,Y146H,Emergency Department,3079,2870,1,0,1121,4,1816,82,56
2017,2017Q2,04,F704H,Emergency Department,5375,4852,61,10,1533,20,3623,145,54
2017,2017Q2,04,F708H,Minor Injury Unit or Other,128,128,0,0,0,0,117,8,3
2017,2017Q2,04,F709H,Minor Injury Unit or Other,225,225,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,F805H,Minor Injury Unit or Other,1818,1817,1,1,24,0,1637,135,22
2017,2017Q2,04,V201H,Minor Injury Unit or Other,1438,1433,0,0,3,0,959,83,393
2017,2017Q2,04,V217H,Emergency Department,5476,4851,11,0,1535,9,3002,106,824
2017,2017Q2,04,N101H,Emergency Department,4739,4393,9,0,1330,15,3017,18,359
2017,2017Q2,04,N121H,Emergency Department,1262,1245,0,0,134,0,1038,0,90
2017,2017Q2,04,N151H,Minor Injury Unit or Other,99,99,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N331H,Minor Injury Unit or Other,9,9,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N332H,Minor Injury Unit or Other,26,26,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N333H,Minor Injury Unit or Other,1315,1315,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N334H,Minor Injury Unit or Other,705,703,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N335H,Minor Injury Unit or Other,233,232,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N336H,Minor Injury Unit or Other,192,192,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N337H,Minor Injury Unit or Other,260,252,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N411H,Emergency Department,2071,2012,1,1,377,3,1643,17,31
2017,2017Q2,04,N431H,Minor Injury Unit or Other,55,55,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N432H,Minor Injury Unit or Other,17,17,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N433H,Minor Injury Unit or Other,88,88,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N451H,Minor Injury Unit or Other,19,19,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N494H,Minor Injury Unit or Other,96,96,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,N683C,Minor Injury Unit or Other,24,24,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,C206H,Minor Injury Unit or Other,1424,1380,0,0,203,3,1118,90,10
2017,2017Q2,04,C313H,Emergency Department,2716,2543,4,0,671,7,1805,38,195
2017,2017Q2,04,C418H,Emergency Department,5575,5052,29,0,1646,9,3698,103,119
2017,2017Q2,04,G107H,Emergency Department,7707,6405,61,1,2280,26,4839,167,395
2017,2017Q2,04,G207H,Minor Injury Unit or Other,1714,1711,0,0,1,0,1569,115,29
2017,2017Q2,04,G306H,Minor Injury Unit or Other,2703,2703,0,0,0,1,2428,230,44
2017,2017Q2,04,G405H,Emergency Department,8233,6553,117,3,2514,28,5289,97,305
2017,2017Q2,04,G513H,Emergency Department,4918,4889,0,0,807,0,4103,2,6
2017,2017Q2,04,C106H,Minor Injury Unit or Other,634,634,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,C108H,Minor Injury Unit or Other,100,100,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,C113H,Minor Injury Unit or Other,340,337,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,C121H,Emergency Department,641,629,3,1,174,0,446,21,0
2017,2017Q2,04,C122H,Minor Injury Unit or Other,460,460,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H101H,Minor Injury Unit or Other,168,168,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H103H,Emergency Department,558,540,2,1,169,1,385,3,0
2017,2017Q2,04,H106H,Minor Injury Unit or Other,42,42,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H202H,Emergency Department,2800,2595,7,0,737,4,2048,11,0
2017,2017Q2,04,H208H,Minor Injury Unit or Other,414,414,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H210H,Minor Injury Unit or Other,60,60,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H212H,Emergency Department,751,731,2,0,118,0,626,7,0
2017,2017Q2,04,H214H,Minor Injury Unit or Other,364,364,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H215H,Minor Injury Unit or Other,209,209,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H217H,Minor Injury Unit or Other,9,9,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H219H,Minor Injury Unit or Other,102,102,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H224H,Minor Injury Unit or Other,388,383,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H227B,Minor Injury Unit or Other,109,109,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,H227H,Minor Injury Unit or Other,128,128,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,L106H,Emergency Department,5695,5422,5,0,1795,4,3719,125,52
2017,2017Q2,04,L206H,Minor Injury Unit or Other,69,69,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,L207H,Minor Injury Unit or Other,99,99,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,L302H,Emergency Department,5293,4802,87,27,1487,5,3720,61,20
2017,2017Q2,04,L308H,Emergency Department,5523,4939,79,16,1339,12,4041,55,76
2017,2017Q2,04,S108H,Minor Injury Unit or Other,157,157,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,S116H,Minor Injury Unit or Other,3736,3417,33,7,1067,0,2642,27,0
2017,2017Q2,04,S308H,Emergency Department,4560,4414,7,0,907,2,3558,93,0
2017,2017Q2,04,S314H,Emergency Department,9711,9189,128,27,2663,18,6863,167,0
2017,2017Q2,04,S319H,Emergency Department,4132,4060,1,0,433,0,3534,165,0
2017,2017Q2,04,R103H,Emergency Department,521,497,0,0,122,0,390,6,3
2017,2017Q2,04,Z102H,Emergency Department,619,603,0,0,146,1,460,5,7
2017,2017Q2,04,T101H,Emergency Department,4149,4071,0,0,1220,7,2653,247,22
2017,2017Q2,04,T202H,Emergency Department,2074,2019,1,0,355,0,1367,338,14
2017,2017Q2,04,T205H,Minor Injury Unit or Other,37,37,0,0,0,0,35,2,0
2017,2017Q2,04,T209H,Minor Injury Unit or Other,280,279,0,0,0,0,270,7,3
2017,2017Q2,04,T304H,Minor Injury Unit or Other,1302,1302,0,0,0,0,1172,125,5
2017,2017Q2,04,T305H,Minor Injury Unit or Other,211,211,0,0,0,0,199,10,2
2017,2017Q2,04,T316H,Minor Injury Unit or Other,114,114,0,0,0,0,95,18,1
2017,2017Q2,04,T319H,Minor Injury Unit or Other,540,540,0,0,0,0,512,27,1
2017,2017Q2,04,T320H,Minor Injury Unit or Other,215,215,0,0,0,0,203,10,2
2017,2017Q2,04,T357C,Minor Injury Unit or Other,466,466,0,0,0,0,440,24,2
2017,2017Q2,04,W106H,Minor Injury Unit or Other,53,53,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,04,W107H,Emergency Department,532,529,0,0,143,1,363,13,12
2017,2017Q2,04,W108H,Minor Injury Unit or Other,147,147,0,0,11,0,134,1,1
2017,2017Q2,05,A101H,Minor Injury Unit or Other,276,271,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,A110H,Minor Injury Unit or Other,119,119,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,A111H,Emergency Department,6507,6117,52,11,2180,6,3818,199,304
2017,2017Q2,05,A210H,Emergency Department,4257,4127,10,1,1451,3,2562,160,81
2017,2017Q2,05,A216H,Minor Injury Unit or Other,110,110,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,B103H,Minor Injury Unit or Other,9,9,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,B105H,Minor Injury Unit or Other,106,106,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,B114H,Minor Injury Unit or Other,11,11,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,B118H,Minor Injury Unit or Other,73,73,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,B120H,Emergency Department,2678,2490,13,1,890,7,1570,195,16
2017,2017Q2,05,Y101H,Minor Injury Unit or Other,28,28,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,Y106H,Minor Injury Unit or Other,29,29,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,Y109H,Minor Injury Unit or Other,3,3,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,Y110H,Minor Injury Unit or Other,7,7,0,0,0,0,7,0,0
2017,2017Q2,05,Y144H,Emergency Department,1125,1076,3,1,78,2,942,71,32
2017,2017Q2,05,Y146H,Emergency Department,3372,3211,0,0,1163,2,2097,58,52
2017,2017Q2,05,F704H,Emergency Department,5675,5235,51,7,1595,10,3869,134,67
2017,2017Q2,05,F708H,Minor Injury Unit or Other,194,194,0,0,3,0,180,3,8
2017,2017Q2,05,F709H,Minor Injury Unit or Other,305,305,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,F805H,Minor Injury Unit or Other,2101,2099,0,0,15,0,1854,189,43
2017,2017Q2,05,V201H,Minor Injury Unit or Other,1589,1588,0,0,1,0,1101,55,432
2017,2017Q2,05,V217H,Emergency Department,5995,5373,60,7,1653,9,3360,99,874
2017,2017Q2,05,N101H,Emergency Department,5086,4775,9,1,1281,9,3380,20,396
2017,2017Q2,05,N121H,Emergency Department,1615,1591,0,0,161,0,1387,0,67
2017,2017Q2,05,N151H,Minor Injury Unit or Other,128,128,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N331H,Minor Injury Unit or Other,19,19,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N332H,Minor Injury Unit or Other,44,44,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N333H,Minor Injury Unit or Other,1434,1432,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N334H,Minor Injury Unit or Other,762,759,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N335H,Minor Injury Unit or Other,294,291,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N336H,Minor Injury Unit or Other,208,208,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N337H,Minor Injury Unit or Other,291,283,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N411H,Emergency Department,2268,2223,1,0,420,4,1796,22,26
2017,2017Q2,05,N431H,Minor Injury Unit or Other,62,62,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N432H,Minor Injury Unit or Other,25,25,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N433H,Minor Injury Unit or Other,83,83,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N451H,Minor Injury Unit or Other,19,19,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N494H,Minor Injury Unit or Other,108,108,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,N683C,Minor Injury Unit or Other,69,69,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,C206H,Minor Injury Unit or Other,1698,1662,0,0,217,0,1361,103,17
2017,2017Q2,05,C313H,Emergency Department,2939,2792,6,0,636,2,2081,35,185
2017,2017Q2,05,C418H,Emergency Department,5851,5207,46,0,1409,16,4152,124,150
2017,2017Q2,05,G107H,Emergency Department,8351,7055,77,1,2253,17,5425,193,463
2017,2017Q2,05,G207H,Minor Injury Unit or Other,1995,1992,0,0,0,0,1803,156,36
2017,2017Q2,05,G306H,Minor Injury Unit or Other,3270,3268,0,0,0,1,2914,298,57
2017,2017Q2,05,G405H,Emergency Department,8950,7541,53,0,2735,31,5773,81,330
2017,2017Q2,05,G513H,Emergency Department,5475,5440,1,0,915,4,4539,7,10
2017,2017Q2,05,C106H,Minor Injury Unit or Other,741,741,NA,NA,NA,NA,NA,NA,NA
2017,2017Q2,05,C108H,Minor Injury Unit or Other,125,125,NA,NA,NA,NA,NA,NA,NA
